07-08-24 59.0
PPCI&N;Abrev. Net. Name;Net. Type;MCC;MNC;Country Initials;Organisation;Network;SIM;Last Update
ROSHAN;ROSHAN;GSM 900;412;20;AFG;Telecom Development Company Afghanistan Limited;ROSHAN;899379;2011-10-20
AF AWCC;AWCC;GSM 1800;412;01;AFG;Afghan Wireless Communication Company;AWCC;899301;2012-02-09
AF AWCC;AWCC;GSM 900;412;01;AFG;Afghan Wireless Communication Company;AWCC;899301;2012-02-09
UNITEL;UNITEL;3G 2100;631;02;AGO;Unitel S.A.;UNITEL;8924402;2016-03-16
UNITEL;UNITEL;3G 900;631;02;AGO;Unitel S.A.;UNITEL;8924402;2023-06-20
UNITEL;UNITEL;5G 3500;631;02;AGO;Unitel S.A.;UNITEL;8924402;2023-06-20
UNITEL;UNITEL;GSM 1800;631;02;AGO;Unitel S.A.;UNITEL;8924402;2016-03-16
UNITEL;UNITEL;GSM 900;631;02;AGO;Unitel S.A.;UNITEL;8924402;2016-03-16
UNITEL;UNITEL;LTE 1800;631;02;AGO;Unitel S.A.;UNITEL;8924402;2016-03-16
UNITEL;UNITEL;LTE 800;631;02;AGO;Unitel S.A.;UNITEL;8924402;2023-06-20
FLOW;FLOW;GSM 850;365;840;AIA;FLOW Anguilla;FLOW;8901010;2016-08-22
Voda AL;Voda AL;3G 2100;276;02;ALB;Vodafone Albania;Vodafone Albania;8935502;2016-12-20
Voda AL;Voda AL;GSM 1800;276;02;ALB;Vodafone Albania;Vodafone Albania;8935502;2016-02-04
Voda AL;Voda AL;GSM 900;276;02;ALB;Vodafone Albania;Vodafone Albania;8935502;2016-02-04
Voda AL;Voda AL;LTE 1800;276;02;ALB;Vodafone Albania;Vodafone Albania;8935502;2016-12-20
Voda AL;Voda AL;LTE 2600;276;02;ALB;Vodafone Albania;Vodafone Albania;8935502;2016-12-20
One.al;One.al;GSM 1800;276;01;ALB;One Albania sh.a;One.al;8935501;2020-09-21
One.al;One.al;GSM 900;276;01;ALB;One Albania sh.a;One.al;8935501;2020-09-21
One.al;One.al;LTE 1800;276;01;ALB;One Albania sh.a;One.al;8935501;2020-09-21
One.al;One.al;LTE 2100;276;01;ALB;One Albania sh.a;One.al;8935501;2020-09-21
One.al;One.al;LTE 2600;276;01;ALB;One Albania sh.a;One.al;8935501;2020-09-21
One.al;One.al;LTE 800;276;01;ALB;One Albania sh.a;One.al;8935501;2020-09-21
One.al;One.al;UMTS 2100;276;01;ALB;One Albania sh.a;One.al;8935501;2020-09-21
One.al;One.al;UMTS 900;276;01;ALB;One Albania sh.a;One.al;8935501;2020-09-21
AndorraTelecom;AndorraT;3G 2100;213;03;AND;Andorra Telecom;ANDORRA TELECOM;8937603;2018-11-13
AndorraTelecom;AndorraT;3G 900;213;03;AND;Andorra Telecom;ANDORRA TELECOM;8937603;2018-11-13
AndorraTelecom;AndorraT;GSM 1800;213;03;AND;Andorra Telecom;ANDORRA TELECOM;8937603;2018-11-13
AndorraTelecom;AndorraT;GSM 900;213;03;AND;Andorra Telecom;ANDORRA TELECOM;8937603;2018-11-13
AndorraTelecom;AndorraT;LTE 1800;213;03;AND;Andorra Telecom;ANDORRA TELECOM;8937603;2018-11-13
AndorraTelecom;AndorraT;LTE 800;213;03;AND;Andorra Telecom;ANDORRA TELECOM;8937603;2018-11-13
Telcell GSM;Telcell;GSM 900;362;51;ANT;Telcell N.V.;Telcell N.V.;8959951;2001-10-25
Digicel;Digicel;3G 2100;362;69;ANT;Digicel Curaçao;Digicel Curacao;8959969;2015-12-18
Digicel;Digicel;3G 850;362;69;ANT;Digicel Curaçao;Digicel Curacao;8959969;2015-12-18
Digicel;Digicel;GSM 900;362;69;ANT;Digicel Curaçao;Digicel Curacao;8959969;2015-12-18
Digicel;Digicel;LTE 1800;362;69;ANT;Digicel Curaçao;Digicel Curacao;8959969;2018-10-16
Kla;Kla;3G 900;362;78;ANT;Telbo;Kla;8936278;2015-05-28
Kla;Kla;LTE 1800;362;78;ANT;Telbo;Kla;8936278;2015-05-28
du;du;3G 2100;424;03;ARE;du;du;8997103;2016-02-04
du;du;GSM 1800;424;03;ARE;du;du;8997103;2016-02-04
du;du;GSM 900;424;03;ARE;du;du;8997103;2016-02-04
ETISALAT;ETISALAT;3G 2100;424;02;ARE;Etisalat United Arab Emirates;ETISALAT;899711;2015-12-11
ETISALAT;ETISALAT;GSM 900;424;02;ARE;Etisalat United Arab Emirates;ETISALAT;899711;2015-12-11
AR - TEFMVNO;TEFMVNO;GSM 850;722;010;ARG;Movistar Argentina;Telefonica MVNO;895401;2015-06-11
AR - Movistar;Movistar;GSM 1900;722;07;ARG;Movistar Argentina;Telefónica Móviles Argentina S.A.;895407;2015-06-11
AR PERSONAL;AR TP;GSM 850;722;34;ARG;Telecom Argentina S.A.;Personal;8954341;2015-12-11
AR PERSONAL;AR TP;GSM 1900;722;36;ARG;Telecom Argentina S.A.;Personal;8954341;2015-12-11
Ucom AM;Ucom;3G 2100;283;10;ARM;Ucom;Ucom;8937410;2016-09-06
Ucom AM;Ucom;3G 900;283;10;ARM;Ucom;Ucom;8937410;2016-09-06
Ucom AM;Ucom;GSM 1800;283;10;ARM;Ucom;Ucom;8937410;2016-09-06
Ucom AM;Ucom;GSM 900;283;10;ARM;Ucom;Ucom;8937410;2016-09-06
Ucom AM;Ucom;LTE 1800;283;10;ARM;Ucom;Ucom;8937410;2016-12-08
Ucom AM;Ucom;LTE 2600;283;10;ARM;Ucom;Ucom;8937410;2016-09-06
Ucom AM;Ucom;LTE-FDD 800;283;10;ARM;Ucom;Ucom;8937410;2016-09-06
MTS ARM;MTS Arm;3G 1900;283;05;ARM;Viva-MTS;MTS Armenia;8937405;2016-06-30
MTS ARM;MTS Arm;3G 2100;283;05;ARM;Viva-MTS;MTS Armenia;8937405;2016-06-30
MTS ARM;MTS Arm;GSM 1800;283;05;ARM;Viva-MTS;MTS Armenia;8937405;2016-06-30
MTS ARM;MTS Arm;GSM 900;283;05;ARM;Viva-MTS;MTS Armenia;8937405;2016-06-30
MTS ARM;MTS Arm;LTE 2600;283;05;ARM;Viva-MTS;MTS Armenia;8937405;2016-06-30
Beeline AM;Beeline;3G 2100;283;01;ARM;Team Telecom  Armenia;ARMGSM;8937401;2017-10-31
Beeline AM;Beeline;GSM 1800;283;01;ARM;Team Telecom  Armenia;ARMGSM;8937401;2015-06-29
Beeline AM;Beeline;GSM 900;283;01;ARM;Team Telecom  Armenia;ARMGSM;8937401;2015-06-29
Telecom Armenia;Team;LTE 1800;283;01;ARM;Team Telecom  Armenia;Team;8937401;2024-01-25
Bluesky Communications;BLUESKY;3G 850;544;110;ASM;Bluesky Communications;BLUESKY;891684;2012-03-26
ASM ASTCA;ASTCA;LTE 1900;313;120;ASM;American Samoa Telecommunications Authority (ASTCA);ASTCA;890112;2022-04-25
ASM ASTCA;ASTCA;LTE 700;313;120;ASM;American Samoa Telecommunications Authority (ASTCA);ASTCA;890112;2022-04-25
FLOW;FLOW;GSM 850;344;920;ATG;FLOW Antigua;FLOW;8901011;2016-08-22
APUA inet;inet;GSM 1900;344;03;ATG;APUA inet Mobile;APUA inet;8901030;2019-11-04
vodafone AU;voda AU;GSM 1800;505;03;AUS;Vodafone Australia;Vodafone;896103;2016-03-16
vodafone AU;voda AU;GSM 900;505;03;AUS;Vodafone Australia;Vodafone;896103;2016-03-16
Telstra Mobile;Telstra;LTE 1800;505;71;AUS;Telstra Limited;Telstra MobileNet;896101;2016-11-22
Telstra Mobile;Telstra;LTE 2100;505;71;AUS;Telstra Limited;Telstra MobileNet;896101;2016-12-02
Telstra Mobile;Telstra;LTE 2600;505;71;AUS;Telstra Limited;Telstra MobileNet;896101;2016-12-02
Telstra Mobile;Telstra;LTE 700;505;71;AUS;Telstra Limited;Telstra MobileNet;896101;2016-12-02
Telstra Mobile;Telstra;LTE 900;505;71;AUS;Telstra Limited;Telstra MobileNet;896101;2016-12-02
Telstra Mobile;Telstra;LTE 1800;505;72;AUS;Telstra Limited;Telstra MobileNet;896101;2016-11-22
Telstra Mobile;Telstra;LTE 2100;505;72;AUS;Telstra Limited;Telstra MobileNet;896101;2016-12-02
Telstra Mobile;Telstra;LTE 2600;505;72;AUS;Telstra Limited;Telstra MobileNet;896101;2016-12-02
Telstra Mobile;Telstra;LTE 700;505;72;AUS;Telstra Limited;Telstra MobileNet;896101;2016-12-02
Telstra Mobile;Telstra;LTE 900;505;72;AUS;Telstra Limited;Telstra MobileNet;896101;2016-12-02
Telstra Mobile;Telstra;3G 2100;505;01;AUS;Telstra Limited;Telstra MobileNet;896101;2016-03-02
Telstra Mobile;Telstra;3G 850;505;01;AUS;Telstra Limited;Telstra MobileNet;896101;2016-03-02
Telstra Mobile;Telstra;LTE 1800;505;01;AUS;Telstra Limited;Telstra MobileNet;896101;2016-03-02
Telstra Mobile;Telstra;LTE 2100;505;01;AUS;Telstra Limited;Telstra MobileNet;896101;2016-12-08
Telstra Mobile;Telstra;LTE 2600;505;01;AUS;Telstra Limited;Telstra MobileNet;896101;2016-12-08
Telstra Mobile;Telstra;LTE 700;505;01;AUS;Telstra Limited;Telstra MobileNet;896101;2016-12-08
Telstra Mobile;Telstra;LTE 900;505;01;AUS;Telstra Limited;Telstra MobileNet;896101;2016-12-08
YES OPTUS;Optus;3G 2100;505;02;AUS;SingTel Optus Pty Limited;YES OPTUS;896102;2023-03-02
YES OPTUS;Optus;3G 900;505;02;AUS;SingTel Optus Pty Limited;YES OPTUS;896102;2023-03-02
YES OPTUS;Optus;LTE 1800;505;02;AUS;SingTel Optus Pty Limited;YES OPTUS;896102;2023-03-02
YES OPTUS;Optus;LTE 2100;505;02;AUS;SingTel Optus Pty Limited;YES OPTUS;896102;2023-03-02
YES OPTUS;Optus;LTE 2600;505;02;AUS;SingTel Optus Pty Limited;YES OPTUS;896102;2023-03-02
YES OPTUS;Optus;LTE 700;505;02;AUS;SingTel Optus Pty Limited;YES OPTUS;896102;2023-03-02
YES OPTUS;Optus;LTE 900;505;02;AUS;SingTel Optus Pty Limited;YES OPTUS;896102;2023-03-02
YES OPTUS;Optus;LTE-TDD 2300;505;02;AUS;SingTel Optus Pty Limited;YES OPTUS;896102;2023-03-02
YES OPTUS;Optus;NRn 1;505;02;AUS;SingTel Optus Pty Limited;YES OPTUS;896102;2023-03-02
YES OPTUS;Optus;NRn 257;505;02;AUS;SingTel Optus Pty Limited;YES OPTUS;896102;2023-03-02
YES OPTUS;Optus;NRn 258;505;02;AUS;SingTel Optus Pty Limited;YES OPTUS;896102;2023-03-02
YES OPTUS;Optus;NRn 28;505;02;AUS;SingTel Optus Pty Limited;YES OPTUS;896102;2023-03-02
YES OPTUS;Optus;NRn 40;505;02;AUS;SingTel Optus Pty Limited;YES OPTUS;896102;2023-03-02
YES OPTUS;Optus;NRn 78;505;02;AUS;SingTel Optus Pty Limited;YES OPTUS;896102;2023-03-02
Pivotel;Pivotel;LTE 2100;505;50;AUS;Pivotel Group Pty Limited;Pivotel;896150;2018-02-21
Pivotel;Pivotel;LTE 850;505;50;AUS;Pivotel Group Pty Limited;Pivotel;896150;2018-02-21
3 AT;3 AT;3G 2100;232;05;AUT;3 Austria;Drei;894305;2016-03-02
3 AT;3 AT;GSM 1800;232;05;AUT;3 Austria;Drei;894305;2016-03-02
3 AT;3 AT;GSM 900;232;05;AUT;3 Austria;Drei;894305;2016-03-02
3 AT;3 AT;LTE 1800;232;05;AUT;3 Austria;Drei;894305;2016-03-02
3 AT;3 AT;LTE 2600;232;05;AUT;3 Austria;Drei;894305;2016-03-02
3 AT;3 AT;3G 2100;232;10;AUT;3 Austria;Drei;894310;2016-03-02
3 AT;3 AT;LTE 1800;232;10;AUT;3 Austria;Drei;894310;2016-05-25
3 AT;3 AT;LTE 2600;232;10;AUT;3 Austria;Drei;894310;2016-03-02
A1;A1;3G 2100;232;01;AUT;A1 Telekom Austria AG;A1;894301;2015-11-24
A1;A1;3G 900;232;01;AUT;A1 Telekom Austria AG;A1;894301;2018-01-08
A1;A1;5G 2100 band n1;232;01;AUT;A1 Telekom Austria AG;A1;894301;2023-11-13
A1;A1;5G 3500 band n78;232;01;AUT;A1 Telekom Austria AG;A1;894301;2023-11-13
A1;A1;GSM 1800;232;01;AUT;A1 Telekom Austria AG;A1;894301;2015-11-24
A1;A1;GSM 900;232;01;AUT;A1 Telekom Austria AG;A1;894301;2015-11-24
A1;A1;LTE 1800;232;01;AUT;A1 Telekom Austria AG;A1;894301;2023-11-13
A1;A1;LTE 2600;232;01;AUT;A1 Telekom Austria AG;A1;894301;2015-11-24
A1;A1;LTE 800;232;01;AUT;A1 Telekom Austria AG;A1;894301;2015-11-24
A1;A1;LTE 900;232;01;AUT;A1 Telekom Austria AG;A1;894301;2023-11-13
Magenta-T-;MagentaT;3G 2100;232;13;AUT;T-Mobile Austria;Magenta Telekom;894313;2019-07-10
Magenta-T-;MagentaT;GSM 1800;232;13;AUT;T-Mobile Austria;Magenta Telekom;894313;2019-07-10
Magenta-T-;MagentaT;GSM 900;232;13;AUT;T-Mobile Austria;Magenta Telekom;894313;2019-07-10
Magenta-T-;MagentaT;LTE 1800;232;13;AUT;T-Mobile Austria;Magenta Telekom;894313;2019-07-10
Magenta-T-;MagentaT;LTE 2600;232;13;AUT;T-Mobile Austria;Magenta Telekom;894313;2019-07-10
Magenta-T-;MagentaT;LTE 800;232;13;AUT;T-Mobile Austria;Magenta Telekom;894313;2019-07-10
Magenta-T-;MagentaT;3G 2100;232;03;AUT;T-Mobile Austria;Magenta Telekom;894303;2019-07-10
Magenta-T-;MagentaT;GSM 1800;232;03;AUT;T-Mobile Austria;Magenta Telekom;894303;2019-07-10
Magenta-T-;MagentaT;GSM 900;232;03;AUT;T-Mobile Austria;Magenta Telekom;894303;2019-07-10
Magenta-T-;MagentaT;LTE 1800;232;03;AUT;T-Mobile Austria;Magenta Telekom;894303;2019-07-10
Magenta-T-;MagentaT;LTE 2600;232;03;AUT;T-Mobile Austria;Magenta Telekom;894303;2019-07-10
Magenta-T-;MagentaT;LTE 800;232;03;AUT;T-Mobile Austria;Magenta Telekom;894303;2019-07-10
telering;telering;3G 2100;232;07;AUT;T-Mobile Austria;Tele-ring;894307;2016-03-02
telering;telering;GSM 1800;232;07;AUT;T-Mobile Austria;Tele-ring;894307;2016-03-02
telering;telering;GSM 900;232;07;AUT;T-Mobile Austria;Tele-ring;894307;2016-03-02
telering;telering;LTE 1800;232;07;AUT;T-Mobile Austria;Tele-ring;894307;2017-04-20
telering;telering;LTE 2600;232;07;AUT;T-Mobile Austria;Tele-ring;894307;2017-04-20
telering;telering;LTE 800;232;07;AUT;T-Mobile Austria;Tele-ring;894307;2017-04-20
spusu;spusu;NR-TDD 3500;232;17;AUT;spusu;spusu;894317;2020-01-14
AZ Nar;Nar;3G 2100;400;04;AZE;Nar Mobile;Nar Mobile;8999404;2015-11-18
AZ Nar;Nar;GSM 1800;400;04;AZE;Nar Mobile;Nar Mobile;8999404;2015-11-18
BAKCELL AZ;BAKCELL;3G 2100;400;02;AZE;Bakcell Limited Liable Company;Bakcell LLC;8999455;2015-07-28
BAKCELL AZ;BAKCELL;GSM 1800;400;02;AZE;Bakcell Limited Liable Company;Bakcell LLC;8999455;2015-07-28
BAKCELL AZ;BAKCELL;GSM 900;400;02;AZE;Bakcell Limited Liable Company;Bakcell LLC;8999455;2015-07-28
BAKCELL AZ;BAKCELL;LTE 1800;400;02;AZE;Bakcell Limited Liable Company;Bakcell LLC;8999455;2015-07-28
AZEAC;Azercell;3G 2100;400;01;AZE;Azercell Telecom LLC;AZERCELL GSM;8999401;2015-11-18
AZEAC;Azercell;GSM 900;400;01;AZE;Azercell Telecom LLC;AZERCELL GSM;8999401;2015-11-18
AZEAC;Azercell;LTE 1800;400;01;AZE;Azercell Telecom LLC;AZERCELL GSM;8999401;2015-11-18
BASE;BASE;3G 2100;206;20;BEL;Telenet Group NV/SA;BASE;893203;2016-02-04
BASE;BASE;3G 900;206;20;BEL;Telenet Group NV/SA;BASE;893203;2016-02-04
BASE;BASE;GSM 1800;206;20;BEL;Telenet Group NV/SA;BASE;893203;2016-02-04
BASE;BASE;GSM 900;206;20;BEL;Telenet Group NV/SA;BASE;893203;2016-02-04
BASE;BASE;LTE 1800;206;20;BEL;Telenet Group NV/SA;BASE;893203;2016-02-04
BASE;BASE;LTE 800;206;20;BEL;Telenet Group NV/SA;BASE;893203;2016-02-04
BASE;BASE;GSM 900;206;05;BEL;Telenet Group NV/SA;BASE;;2023-04-25
Orange B;OBE;3G 2100;206;10;BEL;ORANGE Belgium NV/SA;Orange Belgium;893202;2016-05-03
Orange B;OBE;3G 900;206;10;BEL;ORANGE Belgium NV/SA;Orange Belgium;893202;2016-05-03
Orange B;OBE;GSM 1800;206;10;BEL;ORANGE Belgium NV/SA;Orange Belgium;893202;2016-05-03
Orange B;OBE;GSM 900;206;10;BEL;ORANGE Belgium NV/SA;Orange Belgium;893202;2016-05-03
Orange B;OBE;LTE 1800;206;10;BEL;ORANGE Belgium NV/SA;Orange Belgium;893202;2016-05-03
Orange B;OBE;LTE 2600;206;10;BEL;ORANGE Belgium NV/SA;Orange Belgium;893202;2016-05-03
Orange B;OBE;LTE 800;206;10;BEL;ORANGE Belgium NV/SA;Orange Belgium;893202;2016-05-03
Proximus;Proximus;3G 2100;206;01;BEL;Proximus Belgium;Proximus;893200;2016-03-02
Proximus;Proximus;GSM 1800;206;01;BEL;Proximus Belgium;Proximus;893200;2016-03-02
Proximus;Proximus;GSM 900;206;01;BEL;Proximus Belgium;Proximus;893200;2016-03-02
Proximus;Proximus;LTE 1800;206;01;BEL;Proximus Belgium;Proximus;893200;2016-03-02
BGD bMobile;bMobile;GSM 900;470;04;BGD;Teletalk;Teletalk Bangladesh Ltd;8947015;2012-04-24
Banglalink;BL;3G 2100;470;03;BGD;Banglalink Digital Communications Ltd.;Banglalink;8988033;2016-04-18
Banglalink;BL;GSM 1800;470;03;BGD;Banglalink Digital Communications Ltd.;Banglalink;8988033;2016-04-18
Banglalink;BL;GSM 900;470;03;BGD;Banglalink Digital Communications Ltd.;Banglalink;8988033;2016-04-18
robi axiata;robi;3G 2100;470;02;BGD;Robi Axiata Limited;robi axiata;8988018;2015-10-07
robi axiata;robi;GSM 1800;470;02;BGD;Robi Axiata Limited;robi axiata;8988018;2015-10-07
robi axiata;robi;GSM 900;470;02;BGD;Robi Axiata Limited;robi axiata;8988018;2015-10-07
Grameenphone;Grameen;GSM 1800;470;001;BGD;Grameenphone Ltd;grameenphone;898801;2016-03-02
Grameenphone;Grameen;GSM 900;470;001;BGD;Grameenphone Ltd;grameenphone;898801;2016-03-02
Vivacom BG;Vivacom;3G 2100;284;03;BGR;Vivacom Bulgaria;Vivacom;8935903;2016-05-16
Vivacom BG;Vivacom;3G 900;284;03;BGR;Vivacom Bulgaria;Vivacom;8935903;2016-05-16
Vivacom BG;Vivacom;GSM 1800;284;03;BGR;Vivacom Bulgaria;Vivacom;8935903;2016-05-16
Vivacom BG;Vivacom;GSM 900;284;03;BGR;Vivacom Bulgaria;Vivacom;8935903;2016-05-16
Vivacom BG;Vivacom;LTE 1800;284;03;BGR;Vivacom Bulgaria;Vivacom;8935903;2016-05-16
Yettel BG;Yettel;3G 2100;284;05;BGR;Yettel Bulgaria EAD;Yettel;8935905;2022-05-11
Yettel BG;Yettel;3G 900;284;05;BGR;Yettel Bulgaria EAD;Yettel;8935905;2022-05-11
Yettel BG;Yettel;GSM 1800;284;05;BGR;Yettel Bulgaria EAD;Yettel;8935905;2022-05-11
Yettel BG;Yettel;GSM 900;284;05;BGR;Yettel Bulgaria EAD;Yettel;8935905;2022-05-11
Yettel BG;Yettel;LTE 1800;284;05;BGR;Yettel Bulgaria EAD;Yettel;8935905;2022-05-11
A1 BG;A1 BG;3G 2100;284;01;BGR;A1 Bulgaria;A1 BG;8935901;2018-06-20
A1 BG;A1 BG;3G 900;284;01;BGR;A1 Bulgaria;A1 BG;8935901;2018-06-20
A1 BG;A1 BG;GSM 1800;284;01;BGR;A1 Bulgaria;A1 BG;8935901;2018-06-20
A1 BG;A1 BG;GSM 900;284;01;BGR;A1 Bulgaria;A1 BG;8935901;2018-06-20
A1 BG;A1 BG;LTE 1800;284;01;BGR;A1 Bulgaria;A1 BG;8935901;2018-06-20
A1 BG;A1 BG;LTE 2100;284;01;BGR;A1 Bulgaria;A1 BG;8935901;2018-06-20
stc;stc;3G 2100;426;04;BHR;stc Bahrain;STC Bahrain B.S.C Closed;8997304;2020-01-13
stc;stc;3G 900;426;04;BHR;stc Bahrain;STC Bahrain B.S.C Closed;8997304;2020-01-14
stc;stc;GSM 900;426;04;BHR;stc Bahrain;STC Bahrain B.S.C Closed;8997304;2020-01-14
stc;stc;LTE 1800;426;04;BHR;stc Bahrain;STC Bahrain B.S.C Closed;8997304;2020-01-13
stc;stc;LTE-FDD 1800;426;04;BHR;stc Bahrain;STC Bahrain B.S.C Closed;8997304;2020-01-14
stc;stc;LTE-FDD 2100;426;04;BHR;stc Bahrain;STC Bahrain B.S.C Closed;8997304;2020-01-14
stc;stc;LTE-FDD 800;426;04;BHR;stc Bahrain;STC Bahrain B.S.C Closed;8997304;2020-01-14
stc;stc;LTE-TDD 3500;426;04;BHR;stc Bahrain;STC Bahrain B.S.C Closed;8997304;2020-01-14
stc;stc;NR-TDD 3500;426;04;BHR;stc Bahrain;STC Bahrain B.S.C Closed;8997304;2020-01-14
Zain BH;Zain BH;3G 2100;426;02;BHR;Zain Bahrain;Zain BH;8997302;2016-03-16
Zain BH;Zain BH;GSM 1800;426;02;BHR;Zain Bahrain;Zain BH;8997302;2016-03-16
Zain BH;Zain BH;GSM 900;426;02;BHR;Zain Bahrain;Zain BH;8997302;2016-03-16
BATELCO;BATELCO;3G 2100;426;01;BHR;Bahrain Telecommunications Company (B.S.C.);BATELCO;8997301;2016-03-02
